,MIMAT0004494,MIMAT0000450,MIMAT0002171,MIMAT0000280,MIMAT0019880,MIMAT0002807,MIMAT0000318,MIMAT0000073,MIMAT0000099,MIMAT0003218,MIMAT0000254,MIMAT0000689,MIMAT0015066,MIMAT0014995,ML_tags
TCGA.CZ.5984.01,1944.932552,16.4385094,75.7684833,106.4154986,2.5955189,59.948764,275.1203473,14.7078582,9588.744343,57.1019603,104853.0688,38551.25127,4.3258405,3.4607924,1
TCGA.CZ.5453.01,882.1470799,1.0582425,2.1165916,39.6099831,2.1164584,1.5118029,146.4957056,14.0600809,14975.26974,23.1308763,286602.5618,40928.75024,9.22228,1.6630878,1
TCGA.B0.4815.01,6468.784185,24.7056084,0.6862284,87.8430175,161.6649165,1.3724569,370.5892107,28.1372966,8854.962766,124.9022454,91511.724,35962.78289,0.6862284,10.9804724,1
TCGA.B4.5378.01,642.4407351,6.8311623,0.31768,30.6606426,0.635464,2.0652012,350.7623478,9.0549443,6271.080091,49.2475939,382247.7191,32673.16446,0.9531463,1.1120012,1
TCGA.B0.5709.01,1069.577092,12.5623735,2.9161368,153.2139273,1.5703424,3.364753,80.9818774,8.7485223,13732.64878,50.6982008,206881.0605,48563.87245,1.1216294,6.0567089,1
TCGA.DV.5575.01,902.3317332,4.8694183,1.947721,165.5614449,0.9739904,0.9738331,153.3890352,4.3826569,11001.08991,55.5129646,231611.5636,59412.43355,0.9738331,8.2781072,1
TCGA.CZ.5985.01,1692.858996,0.9678126,0.9679588,61.4606583,1.9359176,0.9679588,172.7707266,14.0340911,8863.065205,35.3283252,106733.4584,27525.08244,3.2756804,7.7430946,1
TCGA.B8.5549.01,1393.289012,5.1854869,2.5927324,58.0752545,2.0742231,1.0371118,102.1538326,12.9632861,6606.075765,24.370808,215308.1158,40638.67379,24.4743021,2.0741765,1
TCGA.B0.5693.01,650.5854307,6.1702243,1.5426465,53.6042568,1.1569609,3.0852022,67.1015441,10.0268752,23723.32008,59.0031634,216982.7259,63465.49793,0.7712895,11.5691353,1
TCGA.B8.5546.01,150.0690198,2.0189517,440.245838,18.8430256,1.3459132,0.6729566,63.9337722,11.4405786,15871.10407,6.0569435,145293.8132,54878.89504,15.4784451,3.364753,1
TCGA.B0.5690.01,640.0282595,2.0671717,0.4134296,85.5844484,1.2403325,1.2403125,71.5278654,19.4318068,10613.49775,16.9517598,351066.4271,66101.64795,3.3076135,1.6538742,1
TCGA.CZ.5457.01,632.1391918,6.7997228,1.6413949,55.1016706,0.234477,3.0480923,70.3423423,10.3168908,10845.13818,20.1647322,314119.9336,27630.46953,0.4689541,6.3310005,1
TCGA.CJ.5684.01,1087.679359,0.9413939,1.8826586,47.5364104,2.8240398,3.7652262,95.0723241,15.0608938,13518.11298,37.1814041,238795.349,47621.86124,5.1769729,3.2945293,1
TCGA.B0.4852.01,1939.033065,5.7136967,2.6889238,74.9514435,1.0083351,1.3443695,170.4061748,22.1831647,10493.8791,88.0607388,172337.1782,41348.97391,2.3527046,5.7136197,1
TCGA.BP.4981.01,675.6874774,3.28739,1.9425947,95.6317438,0.747119,0.4482393,110.426941,5.5287809,17656.50683,66.9426832,190717.3326,23471.60224,1.1953035,2.5401243,1
TCGA.B0.4810.01,1274.03314,10.9905551,1.3549558,102.2302062,0.4516564,0.7527819,115.0276192,16.2601862,8916.950401,63.8377276,168014.7284,31719.99397,0.7527548,5.5708771,1
TCGA.CW.5581.01,1210.116741,2.6690686,0.3336684,44.7069498,1.3345003,3.002935,59.3875871,6.0055542,9501.8988,33.0300216,251384.5007,66050.6545,0.6673368,10.0089583,1
TCGA.B8.4621.01,3820.463054,5.1984579,49.1687682,290.8391839,0.8208348,1.3680508,374.2967727,12.8593698,4920.528496,72.777781,56139.30084,22764.74054,0.5471784,5.4721616,1
TCGA.BP.4970.01,743.5058748,2.3528963,2.5667363,122.5608861,1.0694274,0.6417108,303.3033729,12.833798,9578.900007,41.4952195,151831.82,35520.22752,27.6322272,3.2082767,1
TCGA.CW.6088.01,807.9113346,3.9894016,3.1493921,69.2862098,0.8398987,2.3097005,113.1661029,17.6365036,15837.51948,27.2948697,194592.213,35729.32272,0.2099941,2.7295661,1
TCGA.B2.5636.01,436.6609225,18.7159807,1.1789,36.2526888,0.4421193,1.031649,300.7771169,5.4525328,10829.09962,46.420111,308158.3859,61005.34753,0.5894649,5.4527985,1
TCGA.CJ.6027.01,2111.509481,4.29672435,1.71866803,82.50010416,0.85935211,1.71870421,372.11114,14.60933333,6380.774042,72.18622401,106445.8012,23429.72909,11.52719916,7.73434792,1
TCGA.B0.5695.01,891.2286036,2.2980814,5.2228006,37.8147078,0.6267494,7.5212171,118.0364734,12.5352272,17856.13691,49.3051386,232729.8018,66964.59214,0.4178085,7.1032823,1
TCGA.3Z.A93Z.01,464.6553611,19.90663898,9.09131773,110.8167297,0.94046625,0.3919424,256.1168432,15.28241929,13079.52373,38.24599028,207501.8299,29140.60617,1.72435685,4.07534439,1
TCGA.B2.5633.01,1507.343547,19.5658685,1.029721,82.6384627,1.5445439,1.5446453,159.1003647,9.2677646,9831.080916,77.4903728,199406.4496,81546.35598,98.5770004,6.1785537,1
TCGA.B0.5692.01,1557.447241,1.5418505,65.4746072,83.513274,1.7987843,5.3960602,163.171845,12.3345229,13769.82124,44.9685386,168785.0769,38918.36428,1.2847737,8.4794517,1
TCGA.B2.A4SR.01,356.8797106,7.1147298,0.8538185,77.4088855,1.9921714,1.4229359,219.1338295,16.7911149,23478.90605,37.5657835,275845.6926,37072.68566,0.8537487,1.7075923,1
TCGA.B0.4710.01,1307.493728,5.55148818,1.30615698,113.9638006,0.65312979,3.91877435,84.24818492,34.94173502,12673.57411,30.04163061,279734.8027,63644.00899,0.65312979,9.47025954,1
TCGA.B0.4698.01,3795.247635,0.6046689,3.6283326,1721.000988,6.954131,2.1165953,1.8142516,65.0083097,3895.980868,221.9366496,29114.46735,30492.5505,88.0939634,7.5591665,1
TCGA.BP.4761.01,3902.347495,6.3470574,0.5600584,54.6965464,1.8667258,0.7466614,349.2800175,17.9211968,6832.567912,93.3381609,35436.44706,15061.93325,1.1199705,3.173574,1
TCGA.B0.5088.01,1706.178651,16.9068773,0.8288034,130.2799164,2.6520948,1.9891477,176.1910754,43.2613931,13003.50827,50.8852269,286143.0294,33965.43268,9.2821769,2.9836007,1
TCGA.BP.4960.01,1320.206501,1.9081207,4.4520546,152.6427873,0.8480451,0.8480675,46.6421376,7.8443685,9992.885218,47.0660151,165718.4958,19843.30417,0.4240502,6.3602915,1
TCGA.DV.5569.01,1906.112187,4.8427529,1.8625482,155.7106899,2.6076761,3.3525593,132.6156187,25.7032043,11573.40184,48.0537948,190533.1686,46449.20836,1.49005,7.8227792,1
TCGA.B4.5843.01,1274.715744,14.5313079,4.0364249,59.7403371,1.6146678,1.6146678,206.2610447,21.7977258,13755.36446,61.7569824,121231.1428,41859.34777,20.1830827,11.3019795,1
TCGA.B0.5691.01,658.8459108,12.866506,4.1773003,103.2662166,0.8355235,2.0051677,156.7351313,10.1929525,17146.17843,36.9281062,256516.412,48179.56663,1.5038217,4.5117099,1
TCGA.BP.4340.01,385.034047,3.5299575,1.5689877,68.6400478,1.3074014,0.3922323,40.9236002,6.2758517,7824.934585,12.0283743,345912.5341,22723.69286,0.5229962,12.2897429,1
TCGA.CZ.5465.01,1331.570742,6.8971569,2.1553499,56.4713176,292.1473494,2.1554029,133.2013266,28.4502691,19534.5236,60.7824005,188315.4016,47180.16133,288.1857141,3.8796569,1
TCGA.CW.5583.01,649.886006,7.1610102,2.1483589,66.5990978,0.7160311,2.1481965,86.6505163,7.8772212,14662.6284,66.957586,367247.5458,59409.69295,0.7160311,7.1608592,1
TCGA.B0.4818.01,411.8368449,1.6598379,1.0373587,91.7046743,1.2449426,0.8299598,165.1488708,17.8433134,10765.73984,35.0625731,211546.1163,32445.027,1.0374404,2.6971733,1
