,MIMAT0004494,MIMAT0000450,MIMAT0002171,MIMAT0000280,MIMAT0019880,MIMAT0002807,MIMAT0000318,MIMAT0000073,MIMAT0000099,MIMAT0003218,MIMAT0000254,MIMAT0000689,MIMAT0015066,MIMAT0014995,ML_tags
TCGA.BP.4787.01,1871.474129,4.7337413,3.8981564,244.4743742,1.3922054,1.6706411,154.5413578,23.1108425,7600.439488,68.2179781,224346.4818,30628.31286,0.2784538,3.898364,2
TCGA.B2.5639.01,1107.378045,3.6502602,0.9125534,218.0997265,0.4562923,9.1255186,198.0256279,14.1446553,11032.94831,49.7339133,135335.2387,56908.22788,4.106512,6.3880826,2
TCGA.B0.5712.01,742.9278786,2.2195445,1.5854224,60.5626974,0.6340815,1.9024632,178.8344661,19.9760974,11462.69003,53.5879668,103625.7171,36610.79968,0.3170408,4.1219885,2
TCGA.CJ.6033.01,1735.892775,11.3213747,3.7736738,299.7448703,1.0782278,2.6955576,269.0134204,23.181446,9266.130164,98.117894,115527.4921,34212.26967,1.0782278,2.6955654,2
TCGA.CJ.4887.01,1327.529944,4.7502463,0.6334248,150.1080175,0.950035,2.2167703,287.2294611,17.7338563,12797.23808,43.7017219,118958.3425,24070.77546,2.5334788,2.8500928,2
TCGA.CJ.4900.01,1244.502902,7.7635217,4.3129016,254.1830208,2.0126716,0.5750526,204.7304505,8.051,23741.68585,56.3576829,44222.2784,12019.73606,0.5750492,11.2139903,2
TCGA.CZ.4860.01,2810.316046,20.4278057,6.3629594,47.2175317,1.3394257,1.6742964,90.083596,45.8789356,5393.791942,33.8233552,107288.9737,20138.50876,2.3440378,18.7540863,2
TCGA.CZ.5987.01,1725.329139,18.0715166,1.1294783,189.7510881,1.1294783,1.1294783,310.6088069,21.4603194,8873.721441,92.6191827,154949.2163,37614.8715,0.5647151,5.6474453,2
TCGA.CZ.4863.01,914.8967728,0.359334,2.5154272,84.0859352,0.718668,2.8747612,168.5297012,10.7801614,9043.708803,21.9194119,180965.501,29821.90625,1.0780063,3.9528537,1
TCGA.B0.5700.01,2143.075539,4.7665561,2.4867913,71.2915459,0.6217372,3.5231104,82.6883833,11.1908977,14482.25228,100.9256215,250975.9277,46721.12221,2.6941279,6.8386923,1
TCGA.B0.5402.01,1168.971599,8.1895463,0.4310757,53.8796054,0.4310757,1.2932271,58.1876498,28.8789155,18062.96946,53.0175576,207159.1902,60460.33488,3.8793785,9.0514965,1
TCGA.CW.6093.01,1808.960109,7.460324,1.3165856,113.6624941,1.3165773,0.8777435,80.3088997,18.8710894,17585.85966,38.6191394,199672.929,48833.04991,1.3165773,6.5827414,1
